Star,RA,Dec,eqnx,vmag,exptime,max_exptime,num_exp,cts,comment
BON,00:00:00.00,00:00:00.00,2000.0,1,20,20,1,,Beginning of night cals
ThAr,00:00:00.00,00:00:00.00,2000.0,1,30,30,1,2500k,check focus p1
Dark,00:00:00.00,00:00:00.00,2000.0,5,0,10,30,,dark calibration p1
Flat,00:00:00.00,00:00:00.00,2000.0,3,30,30,30,2500k,science flats p1
LFC,00:00:00.00,00:00:00.00,2000.0,1,15,15,3,2500k,wavelength cal p1
